Year,manure,tillage,tons/acre
2013,aerway,no,39762
2013,broadcast,no,44662
2013,inject,no,56040
2013,plow,no,43262
2013,aerway,vertical,37792
2013,broadcast,vertical,46177
2013,inject,vertical,41921
2013,plow,vertical,37569
2014,aerway,no,44693
2014,broadcast,no,41953
2014,inject,no,47223
2014,plow,no,50119
2014,aerway,vertical,41502
2014,broadcast,vertical,40406
2014,inject,vertical,39297
2014,plow,vertical,40077
2015,aerway,no,41632
2015,broadcast,no,43333
2015,inject,no,44127
2015,plow,no,42766
2015,aerway,vertical,44241
2015,broadcast,vertical,44014
2015,inject,vertical,44014
2015,plow,vertical,45602
2016,aerway,no,30379
2016,broadcast,no,42927
2016,inject,no,39080
2016,plow,no,34439
2016,aerway,vertical,48853
2016,broadcast,vertical,44864
2016,inject,vertical,47984
2016,plow,vertical,45938
2017,aerway,no,37556
2017,broadcast,no,35100
2017,inject,no,50227
2017,plow,no,49142
2017,aerway,vertical,36676
2017,broadcast,vertical,43844
2017,inject,vertical,44303
2017,plow,vertical,42839
